iter	Passed	Remaining
0	60	91177
1	123	92176
2	182	90952
3	240	90105
4	294	88026
5	351	87409
6	406	86686
7	469	87477
8	529	87799
9	581	86705
10	633	85785
11	705	87455
12	759	86861
13	811	86125
14	865	85709
15	916	85034
16	966	84315
17	1015	83624
18	1065	83051
19	1115	82520
20	1169	82398
21	1221	82045
22	1274	81816
23	1324	81453
24	1377	81280
25	1431	81168
26	1492	81444
27	1553	81665
28	1603	81317
29	1651	80916
30	1722	81642
31	1780	81658
32	1834	81530
33	1885	81306
34	1921	80448
35	1963	79857
36	2018	79815
37	2074	79795
38	2130	79819
39	2184	79734
40	2235	79542
41	2282	79233
42	2331	79004
43	2383	78875
44	2447	79124
45	2505	79198
46	2555	79002
47	2607	78878
48	2657	78700
49	2722	78950
50	2775	78847
51	2827	78722
52	2884	78764
53	2934	78572
54	2981	78335
55	3038	78349
56	3086	78143
57	3140	78074
58	3187	77851
59	3240	77780
60	3295	77753
61	3346	77624
62	3405	77673
63	3456	77550
64	3517	77664
65	3576	77713
66	3633	77713
67	3704	78001
68	3749	77765
69	3787	77374
70	3819	76881
71	3871	76778
72	3918	76596
73	3971	76523
74	4018	76356
75	4068	76231
76	4123	76207
77	4173	76079
78	4228	76053
79	4278	75947
80	4329	75837
81	4383	75805
82	4420	75467
83	4482	75564
84	4533	75465
85	4585	75393
86	4630	75212
87	4689	75239
88	4739	75147
89	4789	75040
90	4839	74936
91	4900	74998
92	4955	74969
93	5005	74867
94	5042	74576
95	5092	74481
96	5146	74441
97	5201	74408
98	5249	74285
99	5306	74284
100	5356	74197
101	5406	74100
102	5457	74019
103	5523	74141
104	5583	74180
105	5634	74093
106	5697	74177
107	5748	74094
108	5798	73996
109	5853	73963
110	5905	73894
111	5961	73885
112	6019	73887
113	6075	73863
114	6124	73758
115	6174	73667
116	6226	73601
117	6268	73415
118	6323	73389
119	6364	73186
120	6414	73108
121	6450	72864
122	6505	72834
123	6558	72774
124	6611	72725
125	6669	72730
126	6702	72456
127	6741	72256
128	6788	72151
129	6837	72055
130	6894	72051
131	6946	71995
132	6984	71784
133	7034	71713
134	7085	71638
135	7137	71584
136	7190	71539
137	7240	71463
138	7276	71245
139	7326	71169
140	7375	71084
141	7425	71011
142	7492	71095
143	7548	71080
144	7607	71089
145	7674	71172
146	7729	71143
147	7780	71075
148	7829	70991
149	7867	70805
150	7922	70774
151	7979	70761
152	8037	70762
153	8103	70824
154	8160	70815
155	8220	70822
156	8277	70808
157	8341	70849
158	8409	70922
159	8493	71135
160	8551	71117
161	8603	71058
162	8667	71098
163	8708	70939
164	8742	70732
165	8796	70686
166	8849	70637
167	8886	70459
168	8941	70422
169	8981	70268
170	9038	70247
171	9097	70238
172	9158	70251
173	9210	70190
174	9262	70130
175	9317	70096
176	9376	70088
177	9434	70066
178	9493	70057
179	9545	70001
180	9597	69936
181	9654	69913
182	9712	69896
183	9764	69839
184	9803	69684
185	9855	69624
186	9907	69563
187	9958	69499
188	10014	69465
189	10077	69485
190	10138	69485
191	10189	69417
192	10238	69332
193	10273	69160
194	10311	69007
195	10363	68947
196	10422	68937
197	10481	68924
198	10535	68876
199	10586	68809
200	10651	68840
201	10691	68703
202	10727	68541
203	10792	68566
204	10833	68433
205	10886	68383
206	10937	68321
207	10989	68264
208	11027	68116
209	11066	67980
210	11120	67932
211	11172	67879
212	11214	67762
213	11251	67612
214	11303	67558
215	11340	67410
216	11399	67398
217	11481	67519
218	11539	67495
219	11599	67487
220	11667	67520
221	11723	67491
222	11762	67356
223	11813	67295
224	11867	67249
225	11919	67194
226	11963	67090
227	11995	66921
228	12051	66886
229	12114	66894
230	12178	66902
231	12239	66893
232	12298	66875
233	12340	66763
234	12400	66751
235	12472	66803
236	12534	66795
237	12597	66799
238	12681	66907
239	12747	66924
240	12788	66806
241	12842	66761
242	12905	66757
243	12944	66634
244	13007	66627
245	13052	66534
246	13099	66452
247	13166	66471
248	13228	66458
249	13267	66338
250	13326	66313
251	13387	66300
252	13455	66321
253	13516	66304
254	13559	66201
255	13615	66163
256	13673	66133
257	13732	66109
258	13788	66069
259	13846	66037
260	13904	66006
261	13961	65970
262	13999	65845
263	14058	65821
264	14116	65788
265	14166	65720
266	14216	65649
267	14270	65601
268	14308	65476
269	14345	65350
270	14394	65278
271	14433	65162
272	14483	65094
273	14533	65028
274	14579	64945
275	14644	64945
276	14733	65051
277	14783	64982
278	14836	64929
279	14889	64873
280	14925	64746
281	14972	64668
282	15025	64614
283	15060	64485
284	15112	64428
285	15164	64370
286	15197	64233
287	15250	64179
288	15305	64133
289	15358	64082
290	15403	63995
291	15458	63949
292	15521	63938
293	15571	63876
294	15635	63865
295	15670	63739
296	15719	63673
297	15771	63614
298	15820	63545
299	15875	63502
300	15913	63390
301	15964	63328
302	16001	63215
303	16032	63075
304	16081	63006
305	16126	62924
306	16157	62789
307	16213	62749
308	16246	62618
309	16301	62576
310	16353	62520
311	16397	62436
312	16431	62314
313	16482	62253
314	16534	62202
315	16572	62093
316	16643	62113
317	16678	61994
318	16728	61930
319	16767	61829
320	16821	61782
321	16869	61715
322	16908	61614
323	16960	61560
324	17014	61512
325	17049	61398
326	17101	61344
327	17136	61232
328	17189	61183
329	17220	61053
330	17255	60942
331	17291	60834
332	17342	60777
333	17383	60685
334	17435	60633
335	17476	60544
336	17511	60431
337	17563	60380
338	17625	60364
339	17662	60260
340	17715	60212
341	17766	60158
342	17826	60130
343	17873	60062
344	17931	60031
345	17982	59975
346	18017	59866
347	18065	59803
348	18106	59715
349	18154	59649
350	18212	59618
351	18268	59581
352	18320	59527
353	18375	59486
354	18432	59449
355	18464	59334
356	18500	59232
357	18535	59127
358	18602	59123
359	18649	59056
360	18700	59002
361	18741	58917
362	18793	58866
363	18846	58818
364	18885	58725
365	18937	58674
366	18994	58639
367	19047	58590
368	19103	58553
369	19132	58432
370	19189	58396
371	19247	58362
372	19287	58276
373	19322	58173
374	19378	58135
375	19436	58102
376	19486	58046
377	19536	57988
378	19597	57965
379	19650	57916
380	19707	57881
381	19744	57786
382	19788	57712
383	19821	57605
384	19857	57510
385	19890	57404
386	19942	57354
387	19991	57294
388	20041	57239
389	20095	57194
390	20136	57113
391	20193	57076
392	20247	57032
393	20303	56995
394	20342	56906
395	20405	56888
396	20462	56850
397	20515	56805
398	20582	56794
399	20619	56703
400	20671	56653
401	20726	56612
402	20763	56519
403	20798	56424
404	20850	56373
405	20886	56281
406	20940	56235
407	20996	56195
408	21034	56108
409	21067	56009
410	21117	55954
411	21155	55865
412	21205	55813
413	21258	55765
414	21291	55666
415	21348	55628
416	21409	55601
417	21466	55565
418	21504	55479
419	21572	55471
420	21631	55441
421	21685	55395
422	21722	55307
423	21766	55238
424	21824	55202
425	21866	55127
426	21917	55076
